CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01143;4044;9507;44820;68;8;;;8;11;;;5;13;96.3;90.3;3.1;2.9;14.9;9.4;0.9;0.3;0.4;0.2;-21.5;14650;104130;7.1
01145;491;1161;22310;;;;;;;;;;;;;;;;;;;;;;;;
01146;159;432;22750;;;;;;;;;;;;;;;;;;;;;;;;
01147;203;471;19880;;;;;;;;;;;;;;;;;;;;;;;;
01148;798;1920;22720;;;;;;;;;;;;;;;;;;;;;;;;
01149;444;1104;26270;;;;;;;;;;;;;;;;;;;;;;;;
01150;89;225;24280;;;;;;;;;;;;;;;;;;;;;;;;
01151;483;1112;23260;;;;;;;;;;;;;;;;;;;;;;;;
01152;296;752;26060;;;;;;;;;;;;;;;;;;;;;;;;
01153;732;2047;47550;65;;;;;;;;;;93.9;89;2.2;2.7;16.4;7.5;0.6;0.3;0.2;0.1;-18.4;16540;94440;5.7
01155;67;153;22370;;;;;;;;;;;;;;;;;;;;;;;;
01156;314;847;24600;;;;;;;;;;;;;;;;;;;;;;;;
01157;916;2350;26090;68;;;;;;;;;;76.6;70.1;2.1;4.4;25.3;14;3.2;1.7;1;0.5;-19.1;15720;44030;2.8
01158;355;899;34820;;;;;;;;;;;;;;;;;;;;;;;;
01159;1484;3437;22850;63;6;;;;;;;;;74.4;66.9;2.2;5.3;27.6;9.8;4.2;1.9;1.6;0.7;-16;14870;37830;2.5
01160;3535;7467;26770;45;22;;19;27;28;20;;16;27;82.7;78;3.1;1.6;21.8;9;2.6;0.9;1.1;0.6;-16.1;7560;70080;9.3
01162;;;;;;;;;;;;;;;;;;;;;;;;;;;
01163;821;1961;22760;;;;;;;;;;;;;;;;;;;;;;;;
01165;574;1613;24830;;;;;;;;;;;;;;;;;;;;;;;;
01166;978;2571;25200;69;;;;;;;;;;80.7;73.5;2.6;4.6;23.7;9.5;3.6;1.9;1.1;0.6;-17.5;15640;39270;2.5
01167;275;690;23170;;;;;;;;;;;;;;;;;;;;;;;;
01169;250;691;23800;;;;;;;;;;;;;;;;;;;;;;;;
01170;377;1069;23020;;;;;;;;;;;;;;;;;;;;;;;;
01171;326;908;23720;;;;;;;;;;;;;;;;;;;;;;;;
01173;5083;11710;33070;64;11;;9;13;12;;;6;16;98.8;93.6;3.1;2.1;11.4;5.7;2.1;0.8;0.8;0.5;-18;12360;70330;5.7
01174;70;168;25000;;;;;;;;;;;;;;;;;;;;;;;;
01175;344;855;21160;;;;;;;;;;;;;;;;;;;;;;;;
01177;81;166;22750;;;;;;;;;;;;;;;;;;;;;;;;
01179;823;1917;23250;;;;;;;;;;;;;;;;;;;;;;;;
01180;304;750;49690;;;;;;;;;;;;;;;;;;;;;;;;
01181;450;1230;23810;;;;;;;;;;;;;;;;;;;;;;;;
01183;566;1477;24720;;;;;;;;;;;;;;;;;;;;;;;;
01184;348;789;22470;;;;;;;;;;;;;;;;;;;;;;;;
01185;2011;4006;21990;57;11;;;;;;;;21;63.4;55.8;2.6;5;37.2;8.9;5.6;1.9;2.5;1.2;-15.1;12890;34640;2.7
